@relation answerExp1
@attribute AnswerType STRING
@attribute Question STRING
@data
"LOC:other" , "what building built in contains miles of book shelves" 
"HUM:ind" , "who was the lawyer for randy steven craft" 
"HUM:ind" , "who is reputed to be the greatest maker of violins" 
"HUM:ind" , "what future soviet dictator was training to be a priest when he got turned on to marxism" 
"NUM:period" , "how long does james bond like his eggs boiled" 
"LOC:city" , "what city skyline boasts the gateway arch" 
"LOC:other" , "where is belize located" 
"HUM:ind" , "who sued the dannon yougurt company for using a character named ron raider for promotion" 
"HUM:ind" , "who was the first jockey to ride two triple crown winners" 
"HUM:ind" , "who wrote brave new world" 
"LOC:state" , "what state does charles robb represent" 
"NUM:count" , "how many people are taller than feet" 
"HUM:ind" , "who wrote unsafe at any speed" 
"NUM:count" , "how many islands make up antigua" 
"LOC:state" , "what state boasts stone mountain the world largest mass of exposed granite" 
"HUM:ind" , "what british commander surrendered to george washington at yorktown in" 
"HUM:ind" , "who created the world wide web www" 
"HUM:ind" , "what is the name of the president of garmat" 
"HUM:ind" , "who were leaders of the byzantine empire" 
"HUM:ind" , "who was the first president to appoint a woman to head a cabinet" 
"LOC:country" , "what southeast asian country has the wang river joining the ping river at tak" 
"LOC:city" , "what italian city of were leonardo da vinci michaelangelo and machiavelli all working in" 
"NUM:count" , "how many states have a lottery" 
"LOC:city" , "what is the name of the largest city in chile south america" 
"NUM:perc" , "what ratio of children of ages between two and eleven watch the simpsons" 
"NUM:count" , "how many cities are there in utah" 
"NUM:count" , "how many visitors go to the vatican each year" 
"NUM:other" , "what is the population of mexico" 
"LOC:other" , "what is the best online games site" 
"NUM:date" , "what century did art romantic period begin in" 
"NUM:count" , "how many spaces follow a period at the end of a sentence" 
"NUM:date" , "in what year was the berlin wall erected" 
"NUM:weight" , "what is the weight of a teaspoon of matter in a black hole" 
"NUM:weight" , "what is the approximate weight of a teaspoon of matter in a black hole" 
"LOC:other" , "on what avenue is the original saks department store located" 
"LOC:other" , "where does the song anything goes take place" 
"LOC:other" , "where was the first zoo in the" 
"NUM:dist" , "how far is yaroslavl from moscow" 
"HUM:ind" , "what is the present pope named" 
"HUM:ind" , "who is the nebbish that is marvel official mascot" 
"NUM:count" , "how many bytes are in a terabyte" 
"HUM:ind" , "who sang the song hooked on a feeling in the dancing baby episode of ally mcbeal" 
"NUM:weight" , "approximately how much does a teaspoon of matter weigh in a black hole" 
"LOC:country" , "what country flag is field green" 
"HUM:ind" , "who was the columbia pictures head who forged actor cliff robertson name on a check" 
"HUM:ind" , "name dondi adoptive grandfather" 
"NUM:date" , "when was the congress of vienna" 
"NUM:count" , "how much folic acid should a pregnant woman get each day" 
"NUM:date" , "what year was the first automobile manufactured" 
"NUM:count" , "how many colonies did germany get to keep after world war i" 
"NUM:count" , "how many states have a lemon law for new automobiles" 
"HUM:ind" , "whose biography by maurice zolotow is titled shooting star" 
"HUM:ind" , "in the movie groundshog day what is the name of the character played by andie macdowell" 
"NUM:period" , "how old is benny carter" 
"LOC:other" , "where can i read about chiang" 
"LOC:country" , "what country borders the most others" 
"LOC:other" , "what river runs through colorado kansas and oklahoma" 
"HUM:ind" , "who was the first american citizen awarded the albert medal of the society of arts" 
"HUM:ind" , "what doctor is synonymous with footwear and foot care" 
"NUM:other" , "what are the shoe sizes of o jordan and mutombo the nba players" 
"HUM:ind" , "who founded the unification church" 
"NUM:count" , "how many zeros are there in a trillion" 
"NUM:other" , "what are the statistics for drunken drivers in maryland" 
"HUM:ind" , "what american general dragged a bull terrier named willie through world war ii" 
"NUM:other" , "what the score of a forfeited baseball game" 
"LOC:other" , "where does tuberculosis come from" 
"HUM:ind" , "who invented the lawnmower" 
"LOC:other" , "where can i find lyrics for r b" 
"HUM:ind" , "what senator once played basketball for the new york knicks" 
"HUM:ind" , "what is li l abner last name" 
"NUM:count" , "how many liberty bells have there been" 
"LOC:country" , "what two countries are separated by the bering strait" 
"LOC:country" , "jackson pollock is of what nationality" 
"HUM:ind" , "what architect originated the glass house designed the chicago federal center had a philosophy of less is more and produced plans that were the forerunner of the california ranch house" 
"NUM:count" , "how many russians have landed on the moon" 
"NUM:date" , "when was franklin roosevelt stricken with polio" 
"LOC:other" , "where on the internet can i get chemicals importers" 
"LOC:country" , "what was the first country to put a second woman in space" 
"HUM:ind" , "who shared a new york city apartment with roger maris the year he hit home runs" 
"LOC:other" , "what prison is found in ossining new york" 
"LOC:country" , "what country has declared of its territory to russians" 
"HUM:ind" , "who is the director of intergovernmental affairs for the san diego county" 
"HUM:ind" , "what hall of fame pitcher started three world series games for the new york yankees in" 
"LOC:other" , "what is the longest river in the united states" 
"LOC:other" , "what river is windsor castle on" 
"LOC:other" , "where is natchitoches louisiana" 
"HUM:ind" , "what is the name of a greek god" 
"LOC:city" , "what the capital of taiwan" 
"NUM:money" , "what is the starting salary for beginning lawyers" 
"HUM:ind" , "what was the man name who was killed in a duel with aaron burr" 
"NUM:money" , "what will the california gas tax be in the year" 
"LOC:city" , "what city is served by tempelhol airport" 
"HUM:ind" , "who directed the first woody woodpecker cartoon" 
"HUM:ind" , "what two historical figures who fought each other in a famous battle each have a food named after them" 
"LOC:other" , "where in the united states do people live the longest" 
"LOC:country" , "what country in had the most suicides regardless of population size" 
"NUM:money" , "what is the price for tuberculosis drugs" 
"NUM:money" , "what was the first minimum wage" 
"NUM:count" , "how many people lived in nebraska in the mid" 
"NUM:date" , "what year was janet jackson first album released" 
"HUM:ind" , "name of heroine in scruples" 
"NUM:count" , "how many movies has drew barrymore been in" 
"HUM:ind" , "what tv character sired a horse named thunder" 
"LOC:other" , "what is the name of the planet that the ewoks live on" 
"HUM:ind" , "what baseball player was known as charley hustle" 
"HUM:ind" , "who killed lee harvey oswald" 
"HUM:ind" , "who invented the fax machine" 
"NUM:dist" , "how wide is the atlantic ocean" 
"HUM:ind" , "who wrote the poem that starts i love your lips when they wet with wine and red with a warm desire" 
"HUM:ind" , "what singer theme song was when the moon comes over the mountain" 
"NUM:count" , "how many meters are in a mile" 
"NUM:count" , "about how many soldiers died in world war ii" 
"HUM:ind" , "who is rocky and bullwinkle friend" 
"HUM:ind" , "who thought he never see a poem lovely as a tree" 
"HUM:ind" , "who created the muppets" 
"LOC:other" , "what celestial body has a diameter of miles" 
"HUM:ind" , "name one of the major gods of hinduism" 
"LOC:country" , "what country borders denmark to the south" 
"HUM:ind" , "what two us biochemists won the nobel prize in medicine in" 
"LOC:other" , "where do you find the answers for all these questions" 
"NUM:count" , "how many neurons are in the human brain" 
"LOC:city" , "what city is kdge radio located in" 
"LOC:city" , "what city was bobby kennedy assassinated in" 
"LOC:other" , "what london museum features a chamber of horrors" 
"LOC:city" , "what city is served by mccarren airport" 
"NUM:count" , "how many lakes are there on the earth" 
"HUM:ind" , "who else was considered for the role of luke skywalker when george lucas was casting for star wars" 
"NUM:period" , "how long does a fly live" 
"NUM:weight" , "how many pounds are there in a stone" 
"NUM:other" , "what amount of folic acid should an expectant mother take daily" 
"HUM:ind" , "who was the king who signed the magna carta" 
"NUM:count" , "how many miles is it from frankfurt germany to salzburg austria" 
"NUM:count" , "how many chairs are shown in vincent van gogh work the artist room in arles" 
"LOC:state" , "what state on the gulf of mexico has its lowest point five feet below sea level" 
"LOC:other" , "where can i find a case on americans with disabilities act of" 
"HUM:ind" , "who is the leader of india" 
"HUM:ind" , "who is the prophet that is most connected to the dead sea" 
"NUM:perc" , "what are the chances of pregnacy if the penis does not penetrate the vagina" 
"LOC:other" , "where is the keck telescope" 
"LOC:other" , "where are the apartments in saint john new brunswick" 
"HUM:ind" , "who wrote the pit and the pendulum" 
"LOC:country" , "what country did the mau mau uprising take place in" 
"LOC:other" , "what are some good medical sites for information" 
"HUM:ind" , "who is the incredible hulk in reality" 
"NUM:date" , "what month did the edmund fitzgerald sink" 
"HUM:ind" , "who are the presidents of mexico and indonesia" 
"HUM:ind" , "who played al jolson in the jolson story" 
"LOC:other" , "where were the summer olympics held" 
"LOC:other" , "where is los vegas" 
"LOC:country" , "name the country which honecker lived in" 
"LOC:state" , "what state are the finger lakes in" 
"LOC:city" , "what are the ten safest american cities for pedestrians" 
"HUM:ind" , "what tv detective did craig stevens play" 
"LOC:other" , "where can i find a picture of a blue meanie" 
"LOC:state" , "what state does the continental divide leave to enter canada" 
"HUM:ind" , "in the past years who have the mvp players for the nhl been" 
"HUM:ind" , "who played emperor palpatine in star wars" 
"LOC:other" , "what the name of the wilkes plantation in gone with the wind" 
"LOC:other" , "where is the statistical abstract of the united states online" 
"NUM:date" , "when was the brandenburg gate in berlin built" 
"HUM:ind" , "whose husbands have included conrad hilton and michael wilding" 
"HUM:ind" , "who is king in alley oop home of moo" 
"NUM:count" , "how much of the silver production is manufactured by independent silversmiths" 
"NUM:perc" , "what percentage of the silver production is done by independent silversmiths" 
"NUM:date" , "what date is boxing day" 
"NUM:count" , "how many inches tall is stuart little at birth" 
"NUM:count" , "how many stradivarius violins were ever made" 
"HUM:ind" , "who invented the stock ticker in" 
"LOC:other" , "what was einstein birthplace" 
"NUM:date" , "what century the setting for tv the adventures of robin hood" 
"HUM:ind" , "who wrote the bible" 
"NUM:money" , "what debts did qintex group leave" 
"HUM:ind" , "which president is buried in washington" 
"LOC:other" , "where are the austerlitz and victor hugo subway stops" 
"LOC:other" , "where did ty cobb grow up" 
"NUM:money" , "what is the income of colombia south america" 
"NUM:count" , "how many types of cheese are there in france" 
"NUM:count" , "how many eyes does a coconut have" 
"NUM:count" , "how many websites are there in the world" 
"NUM:count" , "how many points is a disk in the center hole worth in crokinole" 
"LOC:other" , "what general direction does the journey in around the world in days proceed in" 
"HUM:ind" , "the lawyer who represented randy craft what was his name" 
"LOC:mount" , "what is new england highest mountain" 
"HUM:ind" , "who was the first black to be head coach of a major league pro sports team" 
"NUM:date" , "what year did the war of begin" 
"NUM:count" , "how many verses are in the bible" 
"HUM:ind" , "what robust president imported his own instructor after seeing a judo match" 
"LOC:country" , "in what nation is edessa located nowadays" 
"LOC:country" , "name a country that is developing a magnetic levitation railway system" 
"NUM:code" , "what seven digits follow the area code in the number for long distance information" 
"HUM:ind" , "what was the player name who played nose tackle for the eagles in super bowl xv" 
"LOC:other" , "where is the largest dam in the world" 
"HUM:ind" , "who held the endurance record for women pilots in" 
"NUM:perc" , "independent silversmith account for what percentage of silver production" 
"LOC:other" , "in what part of the world is mozambique" 
"HUM:ind" , "who are woody woodpecker niece and nephew" 
"HUM:ind" , "who created maudie frickett" 
"HUM:ind" , "who was the first english circumnavigator of the globe" 
"NUM:money" , "what is the salary of a representative" 
"LOC:other" , "what waterways is miles long" 
"HUM:ind" , "who liberated century sicily and naples" 
"LOC:other" , "on what river is strasbourg built" 
"NUM:count" , "what the maximum length in inches of a first baseman glove" 
"LOC:country" , "what country is located at degrees north latitude and degrees east longitude" 
"LOC:other" , "where are the busiest ports in the world" 
"NUM:count" , "what is the pig population of the world" 
"LOC:city" , "what city does mccarren airport serve" 
"NUM:count" , "what is the most number of goals scored by a single team in an nhl hockey game" 
"HUM:ind" , "what actor has a tattoo on his right wrist reading scotland forever" 
"NUM:count" , "how many dollars a day did arthur frommer say you could get by on in europe in" 
"HUM:ind" , "who appointed the chair of the federal reserve" 
"LOC:other" , "where can i find coastal ocean surface temperature information preferably along north america and the caribbean" 
"LOC:city" , "what are the two cities in dicken a tale of two cities" 
"HUM:ind" , "what english queen had six fingers on one hand" 
"LOC:other" , "what river runs through liverpool" 
"NUM:date" , "when did mount helens last erupt" 
"NUM:date" , "when was child labor abolished" 
"NUM:count" , "how many permutations can be made from the four letters c" 
"NUM:date" , "what time of year is air travel the heaviest" 
"LOC:other" , "what the longest river in canada" 
"HUM:ind" , "what tennis player has the nickname nasty" 
"HUM:ind" , "what abstract painter was dubbed jack the dripper by time" 
"NUM:count" , "how many furlongs are there in a recetrack" 
"NUM:count" , "how many millimeters are in a mile" 
"NUM:volsize" , "how big is a baby bald eagle" 
"NUM:count" , "what was the great britain population from" 
"LOC:mount" , "what mountain range marks the border of france and spain" 
"HUM:ind" , "who founded the modern theory of probability" 
"NUM:count" , "how many people did randy craft murder" 
"HUM:ind" , "who the king of swing" 
"HUM:ind" , "what bestselling modern poet was the of the famous city lights bookshop in san francisco" 
"HUM:ind" , "what south vietnamese president was assassinated by his generals in" 
"NUM:period" , "how old is too old for a child to not be talking" 
"NUM:date" , "when was the hoover dam constructed" 
"NUM:count" , "how many tenths of the earth surface lie under water" 
"NUM:perc" , "what is the pennsylvania state income tax rate" 
"HUM:ind" , "who won the california democratic primary" 
"HUM:ind" , "who spoke the only word in mel brooks silent movie" 
"HUM:ind" , "what was thatcher first name" 
"HUM:ind" , "who was the first russian astronaut to walk in space" 
"HUM:ind" , "who wrote dubliners" 
"NUM:period" , "what is the life expectancy of an elephant" 
"HUM:ind" , "who is malaysia prime minister" 
"HUM:ind" , "who founded the first aerodynamics laboratory in" 
"NUM:money" , "what is the fare cost for the round trip between new york and london on concorde" 
"HUM:ind" , "who said give me liberty or give me death" 
"LOC:other" , "what is the location of mccarren airport" 
"NUM:money" , "by how much will the california state gas tax rise by the year" 
"HUM:ind" , "name of the powerful white trader in conrad heart of darkness" 
"NUM:dist" , "how long is the border between canada and the conterminous states" 
"LOC:other" , "what is the largest island in the mediterranean sea" 
"NUM:money" , "what was joe namath first contract worth" 
"LOC:other" , "where is rider college" 
"LOC:other" , "where was chop suey invented" 
"LOC:other" , "where does dew come from" 
"NUM:period" , "how old was lucille ball when the show i love lucy premiered" 
"LOC:other" , "what landmark italian restaurant can be found at west street new york city" 
"NUM:count" , "how many points is a bullseye worth in darts" 
"LOC:other" , "what are some mythology websites" 
"LOC:country" , "what nationality is ileana cotrubas" 
"NUM:other" , "what is the population of kansas" 
"HUM:ind" , "who invented the opener on cans" 
"HUM:ind" , "what is the name of the deranged otto octavius uses" 
"HUM:ind" , "whose acceptance speech of more than minutes prompted a time limit on academy award" 
"NUM:count" , "how much coca cola is drunk in one day in the world" 
"LOC:other" , "where did the world come from" 
"LOC:other" , "what island group is guadalcanal a part of" 
"HUM:ind" , "who declared i think i go out and milk the elk" 
"NUM:count" , "how many companies are started every day" 
"LOC:country" , "what the only east european country not tied to the ruble" 
"NUM:date" , "what is judy garland date of birth" 
"HUM:ind" , "which former ku klux klan member won an elected office in the" 
"NUM:dist" , "what is the length of border between the ukraine and russia" 
"LOC:country" , "what country has the highest arson rate" 
"HUM:ind" , "who was the actor who played sam in the movie casablanca" 
"LOC:city" , "what city does orly airport serve" 
"LOC:other" , "where did woodstock take place" 
"NUM:period" , "what is the average time to kiss somene" 
"LOC:country" , "what are the top five countries in the world" 
"HUM:ind" , "what new orleans claimed my staff and i solved the assassination weeks ago" 
"LOC:other" , "where can one find rider college" 
"NUM:count" , "how much caffeine is in a oz cup of coffee" 
"HUM:ind" , "what was the real name of writer ross macdonald creator of the hero lew archer" 
"NUM:volsize" , "how big is australia" 
"LOC:country" , "what countries have the most auto thefts" 
"HUM:ind" , "who makes chicken finger lickin good" 
"HUM:ind" , "what director portrayed the commandant of the pow camp in stalag" 
"HUM:ind" , "what are the names of jacques cousteau two sons" 
"HUM:ind" , "who accompanied space ghost on his missions" 
"HUM:ind" , "what world war ii leader declared the blow has been struck" 
"HUM:ind" , "who was israel first prime minister" 
"LOC:country" , "what country boasts ismail palace and the palace of king farouk" 
"LOC:other" , "where could i go to take a ride on a steam locomotive" 
"LOC:other" , "where is the virtual desk reference" 
"NUM:other" , "how loud is thunder" 
"HUM:ind" , "what california governor said inaction may be the highest form of action" 
"HUM:ind" , "who was the first person to study the stars" 
"HUM:ind" , "who is the author of the book the iron lady a biography of margaret thatcher" 
"NUM:money" , "how much would a stamp be worth thomas jefferson on it" 
"NUM:perc" , "what is the probability that at least out of people will have the same birthday" 
"LOC:other" , "where is the bridge over the river kwai" 
"NUM:count" , "how many people did the united nations commit to help restore order and distribute humanitarian relief in somalia in september" 
"NUM:count" , "how many elephants are left on earth" 
"HUM:ind" , "who did doris day mean when she said i call him ernie because he certainly no rock" 
"NUM:date" , "when was the first practical commercial typewriter marketed" 
"LOC:country" , "what scandinavian country covers square miles" 
"NUM:period" , "how long would it take to get from earth to mars" 
"LOC:other" , "where can i get mailing lists" 
"LOC:city" , "what city boasts the billingsgate fishmarket" 
"HUM:ind" , "who is the owner of cnn" 
"NUM:period" , "how long was the oj simpson trial" 
"LOC:country" , "what country lies directly south of detroit" 
"LOC:other" , "where did surfing originate" 
"LOC:mount" , "what is the tallest mountain" 
"NUM:count" , "what the maximum number of clubs a golfer may use in a round" 
"NUM:count" , "how many different countries export coffee" 
"NUM:count" , "how many continents are there" 
"HUM:ind" , "what knighted actor narrates tv the world at war" 
"HUM:ind" , "what football coach story was told in the movie run to daylight" 
"NUM:date" , "when did the chernobyl nuclear accident occur" 
"LOC:other" , "where did the maya people live" 
"HUM:ind" , "what was the name of randy craft lawyer" 
"LOC:state" , "kosovo is a province of what country" 
"LOC:state" , "what new england state covers square miles" 
"NUM:date" , "hitler came to power in germany in what year" 
"HUM:ind" , "who markets" 
"LOC:other" , "where are the haversian canals" 
"NUM:count" , "how many people die from tuberculosis each year" 
"HUM:ind" , "who with julie andrews in mary poppins" 
"LOC:other" , "where can i find the status of my tax return" 
"NUM:other" , "what is the horsepower of the shuttle boosters" 
"NUM:date" , "when was general manuel noriega ousted as the leader of panama and turned over to authorities" 
"NUM:count" , "how many years of bad luck follow breaking a mirror" 
"LOC:other" , "where is the kentucky horse park" 
"HUM:ind" , "what argentine boxer was shot dead outside a nevada brothel in may" 
"LOC:country" , "what country boasts the most cars per mile of road" 
"HUM:ind" , "what is jimmy olsen full name" 
"NUM:count" , "how many people have died of tuberculosis" 
"NUM:count" , "how many days does a typical mayfly live" 
"HUM:ind" , "what famous new york city mayor wrote the hit song will you love me in december as you do in may" 
"LOC:city" , "what russian city used to be called petersburg and petrograd" 
"NUM:count" , "how many votes in congress dissented from the declaration of war with japan" 
"HUM:ind" , "who is pia zadora millionaire husband and mentor" 
"HUM:ind" , "what president was the first to breed mules" 
"HUM:ind" , "what designed the present paul cathedral in london" 
"HUM:ind" , "what feminist wrote sexual politics and flying" 
"HUM:ind" , "who was the first american world chess champion" 
"HUM:ind" , "who was the last woman executed in england" 
"NUM:count" , "how many school districts are there in the united states" 
"NUM:period" , "how long did the paris commune hold out for against the rest of france" 
"NUM:count" , "how much iron is in your body" 
"NUM:date" , "when did thatcher become prime minister" 
"LOC:other" , "what are some good fractal web sites" 
"LOC:country" , "what country imposed the berlin blockade in" 
"NUM:money" , "how much do drugs to treat tuberculosis cost" 
"LOC:other" , "what kind of habitat does the scorpion live in" 
"NUM:count" , "how many logarithmic scales are there on a slide rule" 
"LOC:other" , "where is webster university" 
"NUM:temp" , "how hot should the oven be when making peachy oat muffins" 
"NUM:period" , "how old is britney spears" 
"LOC:other" , "where can i get piano music for the jamiroquai song everyday for the midi" 
"LOC:country" , "what country capital was formed when pesth and buda merged" 
"LOC:city" , "what town was the setting for the music man" 
"LOC:other" , "where can i find scientific data research papers on textile engineering" 
"NUM:count" , "how many people die from snakebite poisoning in the per year" 
"NUM:dist" , "how high is the city of denver" 
"HUM:ind" , "who was international olympic committee chairman at the summer games" 
"NUM:date" , "when was florida admitted into the union" 
"NUM:count" , "how many times a year does the american gourd society publish the gourd" 
"LOC:other" , "where can i read about abraham lincoln" 
"NUM:money" , "what will the increase be in the california gas tax by" 
"NUM:dist" , "how far is the longest hole in on any golf course and where did it happen" 
"HUM:ind" , "what appointments secretary to richard nixon went to jail" 
"HUM:ind" , "who released the internet worm in the late" 
"HUM:ind" , "what is the name of the american who was captured when his plane went down over lebanon" 
"HUM:ind" , "what basketball player is credited with rebounds" 
"NUM:volsize" , "how big is a normal size penis for a" 
"NUM:count" , "how many american soldiers remain unaccounted from the vietnam war" 
"LOC:other" , "where can i find a tape or book to help me say write and understand japanese" 
"NUM:count" , "how many cables support the main span of the golden gate bridge" 
"NUM:money" , "how much did manchester united spend on players in" 
"LOC:other" , "what was the birthplace of edgar allen poe" 
"HUM:ind" , "what american sergeant lost both of his hands in combat during world war ii and then went on to act in a single movie for which he won two oscars" 
"HUM:ind" , "who invented the fountain" 
"LOC:other" , "what room did fields keep his library in" 
"HUM:ind" , "what batman character tools around on a batcycle" 
"LOC:other" , "where can i find the schematics to the windshield wiper mechanism" 
"HUM:ind" , "who was sherlock holmes archenemy" 
"LOC:other" , "where is global schoolhouse" 
"NUM:count" , "how many years of schooling after highschool does it take to become a neurosurgeon" 
"LOC:other" , "what volcano showers ash on sicily" 
"LOC:other" , "where are the headquarters for procter gamble" 
"NUM:date" , "when did mount helen last have a major eruption" 
"HUM:ind" , "what the name of tom sawyer aunt with whom he lives" 
"HUM:ind" , "which member of the micronauts spent years traveling the microverse in the marvel comics" 
"HUM:ind" , "what doctor claimed in a book there is no such thing as a bad boy" 
"NUM:period" , "how long has cool been married" 
"NUM:weight" , "how much did a knight armor weigh" 
"HUM:ind" , "what comedian created a pugilist named cauliflower mcpugg" 
"NUM:dist" , "how tall is prince charles" 
"NUM:weight" , "what is the weight of air" 
"LOC:city" , "what is the capital of uruguay" 
"NUM:dist" , "how long is the world largest ship in meters" 
"NUM:dist" , "how tall is the replica of the matterhorn at disneyland" 
"LOC:other" , "what are the largest deserts in the world" 
"LOC:other" , "where is qatar" 
"LOC:state" , "what is the richest state in the" 
"HUM:ind" , "who is the prime minister in norway" 
"HUM:ind" , "what actress starred in the lion in winter" 
"HUM:ind" , "who won the rugby world cup in" 
"NUM:count" , "how many times was pitcher warren spahn a winner in his major league seasons" 
"NUM:count" , "how many pins are used in skittles" 
"LOC:other" , "what california bridge was don brown the first to cross on may" 
"HUM:ind" , "who is the famous sister of actress olivia de havilland" 
"HUM:ind" , "which german president was pressured into appointing hitler chancellor in" 
"NUM:count" , "how many people have been killed in wars armed conflicts" 
"LOC:city" , "what was the largest city in the world to declare martial law in" 
"LOC:other" , "where is the thomas edison museum" 
"NUM:money" , "what was the first minimum wage" 
"LOC:mount" , "what is the name of the highest mountain in africa" 
"LOC:mount" , "what mountain range extends from the gulf of lawrence to alabama" 
"NUM:count" , "how many types of lemurs are there" 
"HUM:ind" , "what famous coach said if you can beat in the alley you can beat on the ice" 
"HUM:ind" , "what onetime member of ronald reagan cabinet called federal policy toward indians an example of the failure of socialism" 
"NUM:count" , "how many claws has a lobster called a pistol lost" 
"HUM:ind" , "who was darth vader son" 
"HUM:ind" , "who invented the process to make condensed milk" 
"LOC:city" , "what is the largest city in connecticut" 
"NUM:other" , "what is the population of the united states" 
"HUM:ind" , "what actor and actress have made the most movies" 
"HUM:ind" , "who found hawaii" 
"LOC:other" , "where can i find free piano scores for popular music" 
"NUM:date" , "when did the american civil war end" 
"LOC:country" , "what country is the largest diamond producer" 
"NUM:period" , "how long does it take the moon to revolve around the earth" 
"HUM:ind" , "who protects dc comics realm of dreams" 
"NUM:date" , "when did the vesuvius last erupt" 
"NUM:date" , "when did the supercontinent pangaea break up" 
"HUM:ind" , "who created harry lime" 
"HUM:ind" , "who was president cleveland wife" 
"LOC:city" , "what the capital of monaco" 
"NUM:weight" , "what do englishmen weigh themselves in" 
"NUM:volsize" , "how big is the electoral college" 
"HUM:ind" , "who invented the moog synthesizer" 
"HUM:ind" , "who makes the die hard car battery" 
"NUM:period" , "how long does it take to travel from tokyo to niigata" 
"LOC:state" , "what state is the filenes store located in" 
"NUM:money" , "what is the starting salary of a radiographer" 
"HUM:ind" , "what is the name of dolly parton rarely seen husband" 
"LOC:other" , "where is the official zero of the sea level" 
"HUM:ind" , "whose old london was buy my sweet lavender" 
"HUM:ind" , "who wrote the lyrics to porgy and bess" 
"NUM:ord" , "what chapter of gone with the wind has rhett butler leaving scarlett o" 
"NUM:count" , "how many american actors were nominated for the best actor oscar for" 
"NUM:date" , "when did lucelly garcia a former ambassador of columbia to honduras die" 
"NUM:period" , "how long was the longest sneezing attack" 
"LOC:other" , "what is the seafaring name for the southern tip of south america" 
"HUM:ind" , "what two new york yankee pitchers swapped wives and families" 
"NUM:date" , "when did nixon visit china" 
"NUM:date" , "what the third month of the gregorian calendar" 
"LOC:country" , "what country owns corsica" 
"NUM:count" , "how many queen bees reign in a hive" 
"LOC:other" , "where can i find a world atlas map online at no charge" 
"NUM:ord" , "what chapter of the bible has the most verses" 
"LOC:other" , "what ocean did the titanic sink in" 
"NUM:date" , "in what year was the wall built" 
"HUM:ind" , "name one of king henry viii wives" 
"LOC:state" , "what southwestern state is dubbed the silver state" 
"LOC:country" , "what country did the allies invade in world war ii operation avalanche" 
"LOC:other" , "what famed river was hernando de soto the first european to see" 
"NUM:date" , "when was christ born" 
"LOC:other" , "where do quality drinks begin" 
"HUM:ind" , "who is the french literary charcter who is chiefly famous for his enormous nose" 
"LOC:country" , "what country surrounds san marino the world smallest republic" 
"HUM:ind" , "who killed martin luther king" 
"HUM:ind" , "who owns the rights on a tv program" 
"HUM:ind" , "who invented astroturf" 
"NUM:date" , "what season does a hiemal activity normally take place in" 
"LOC:other" , "what direction do the best surfing beaches face" 
"NUM:dist" , "what is the world record for the longest hair" 
"HUM:ind" , "what democratic prankster waved the train out of the station while richard nixon spoke from the caboose" 
"LOC:other" , "what california bay largest island is angel island" 
"HUM:ind" , "what former african leader held his country boxing title for nine years" 
"LOC:other" , "what california bridge was don brown the first to cross on may" 
"NUM:money" , "how much does one ton of cement cost" 
"HUM:ind" , "what american poet wrote a biography of abraham lincoln" 
"LOC:other" , "where is the oldest living thing on earth" 
"HUM:ind" , "who stopped making diary entries on may because he thought he was going blind" 
"HUM:ind" , "what journalist can be found in and around walden puddle" 
"NUM:count" , "how many sides does an obelisk have" 
"HUM:ind" , "what woman pitcher has struck out ted williams and hank aaron" 
"NUM:date" , "in what year was the cannon invented" 
"NUM:count" , "how many languages does the pope speak" 
"LOC:other" , "what bay divides maryland eastern and western shores" 
"HUM:ind" , "what is the real name of the singer madonna" 
"HUM:ind" , "what frenchman claimed the following if god did not exist it would be necessary to invent him" 
"HUM:ind" , "who was the first woman in space" 
"HUM:ind" , "who discovered imaginary numbers" 
"HUM:ind" , "who does the voices of the simpsons" 
"NUM:count" , "how many feet high is the hurdle in front of a runner steeplechase water jump" 
"NUM:count" , "how many calories are there in a glass of water" 
"HUM:ind" , "who is the richest person in the world without owning a business" 
"NUM:other" , "what is the chemical reactivity of neon" 
"LOC:other" , "where can i find info on alexander mackenzie" 
"LOC:city" , "what georgia town did scarlett o condemn as being full of pushy people" 
"NUM:count" , "how many countries watch mtv europe" 
"NUM:code" , "what is the airport code for los angeles international" 
"LOC:other" , "where did the real nicholas live" 
"NUM:count" , "how many eyes does a bat have" 
"HUM:ind" , "who was the second man to walk on the moon" 
"LOC:other" , "where did dikembe mutombo go to college" 
"HUM:ind" , "what author was appointed ambassador to spain in" 
"LOC:other" , "what body of water does the yukon river empty into" 
"HUM:ind" , "who is westview high band director in funky winkerbean" 
"LOC:other" , "what is mark mcgwire address" 
"NUM:count" , "how many maids were milking" 
"LOC:city" , "the kentucky horse park is located near what city" 
"NUM:date" , "what geological time do we live in" 
"LOC:other" , "where is the massive north korean nuclear complex located" 
"LOC:other" , "where is microsoft corporate headquarters located" 
"NUM:date" , "when was china first nuclear test" 
"HUM:ind" , "what singer hit song inspired the dolly parton stallone movie rhinestone" 
"NUM:money" , "how much can a person be fined for having a dog on a beach" 
"LOC:other" , "what asian gulf were the destroyers maddox and c turner joy shot up in" 
"HUM:ind" , "what was mao the chinese leader full name" 
"NUM:date" , "when is dick clark birthday" 
"HUM:ind" , "who is the director of the international group called the human genome organization hugo that is trying to coordinate research worldwide" 
"HUM:ind" , "what character narrates treasure island" 
"HUM:ind" , "who starred with charlie chaplin in modern times and the great dictator" 
"NUM:code" , "what seven digits follow the area code in the number for long distance information" 
